ra,dec
228.77943008499312,-0.43527810016814805
228.76706112039253,-0.45603760307177515
228.7544263052442,-0.47654083121992447
228.741531247438,-0.49679319292652546
228.7283815548215,-0.5168000964428648
228.7149828352121,-0.5365669499561364
228.70134069640838,-0.5560991615885392
228.68746074620006,-0.5754021393969035
228.67334859237732,-0.5944812913728191
228.65900984273935,-0.6133420254432423
228.64445010510107,-0.6319897494715614
228.62967498730052,-0.6504298712590946
228.61469009720412,-0.6686677985470053
228.5995010427118,-0.6867089390186066
228.58411343176135,-0.7045587003020415
228.56853287233207,-0.7222224899733143
228.55276497244753,-0.7397057155596569
228.53681534017826,-0.7570137845432103
228.52068958364328,-0.7741521043650035
228.5043933110114,-0.7911260824292109
228.48793213050212,-0.8079411261076755
228.4713116503858,-0.8246026427446731
228.45453747898327,-0.8411160396619094
228.43761522466562,-0.8574867241637303
228.42055049585318,-0.8737201035425292
228.40334890101394,-0.8898215850843386
228.3860160486621,-0.9057965760745901
228.36855754735623,-0.9216504838040286
228.35097900569653,-0.9373887155747662
228.33328603232331,-0.9530166787064639
228.3154842359133,-0.9685397805426262
228.29757922517743,-0.9839634284569978
228.27957660885792,-0.9992930298600439
228.26148199572418,-1.0145339922055112
228.24330099457052,-1.0296917229970506
228.2250392142123,-1.0447716297948884
228.20670226348227,-1.059779120222543
228.18829575122749,-1.074719601973565
228.1698252863051,-1.0895984828182972
228.15129647757962,-1.1044211706106417
228.13271493391855,-1.1191930732948216
228.114086264189,-1.1339195989121253
228.09541607725475,-1.1486061556076288
228.07670998197193,-1.1632581516368823
228.05797358718652,-1.177880995372547
228.03921250173042,-1.1924800953109793
228.02043233441873,-1.2070608600787454
228.00163869404668,-1.221628698439063
227.98283718938677,-1.2361890192981555
227.9640334291863,-1.2507472317115083
227.9452330221648,-1.265308744890023
227.92644157701193,-1.2798789682060534
227.9076647023854,-1.2944633111993156
227.88890800690956,-1.3090671835826668
227.87017709917356,-1.3236959952477363
227.8514775877306,-1.3383551562704006
227.8328150810969,-1.3530500769160956
227.8141951877517,-1.367786167644957
227.79562351613623,-1.3825688391167708
227.777105674655,-1.3974035021957303
227.7586472716756,-1.4122955679549947
227.7402539155305,-1.4272504476810217
227.72193121451798,-1.4422735528776809
227.70368477690457,-1.4573702952701302
227.6855201882227,-1.4725460649106503
227.66744028673966,-1.4878036024225645
227.64944257517325,-1.5031405024942843
227.63152394323973,-1.5185537685143848
227.61368128067454,-1.5340404038045372
227.59591147723214,-1.5495974116170952
227.5782114226851,-1.5652217951326965
227.56057800682387,-1.5809105574578854
227.5430081194555,-1.5966607016227514
227.52549865040348,-1.6124692305785724
227.5080464895066,-1.6283331471954785
227.4906485266187,-1.6442494542601125
227.47330165160724,-1.6602151544733013
227.4560027543535,-1.6762272504477183
227.43874872475084,-1.6922827447055553
227.42153645270474,-1.7083786396761782
227.40436282813167,-1.7245119376937805
227.38722474095857,-1.740679640995025
227.3701190811224,-1.7568787517166646
227.3530427385689,-1.7731062718931507
227.33599260325275,-1.7893592034542205
227.31896556513658,-1.8056345482224572
227.30195851419063,-1.821929307910821
227.28496834039223,-1.8382404841201525
227.26799193372574,-1.8545650783366425
227.251026184182,-1.8709000919292589
227.23406798175824,-1.8872425261471353
227.21711421645793,-1.9035893821169187
227.2001617782907,-1.9199376608400638
227.18320755727277,-1.9362843631900801
227.16624844342672,-1.9526264899097214
227.14928132678185,-1.9689610416081211
227.1323031393756,-1.985285059279924
227.1153127157221,-2.001597419302049
227.09831153015,-2.0178995449384964
227.0813012514316,-2.034193047120381
227.06428354833596,-2.050479536847497
227.04726008962774,-2.06676062518992
227.0302325440678,-2.083037923289587
227.01320258041252,-2.0993130423618624
226.99617186741386,-2.1155875936970947
226.97914207381893,-2.1318631886621455
226.9621148683701,-2.148141438701913
226.94509191980484,-2.1644239553408275
226.9280748968556,-2.180712350184336
226.91106546824992,-2.1970082349203506
226.89406530271037,-2.2133132213207003
226.8770760689548,-2.2296289212425324
226.86009943569604,-2.245956946629716
226.84313707164267,-2.2622989095141963
226.82619064549885,-2.2786564220173506
226.8092618259644,-2.295031096351293
226.7923522817357,-2.3114245448201647
226.77546368150547,-2.327838379821396
226.75859769396382,-2.3442742138469344
226.74175598779794,-2.3607336594844472
226.7249402316934,-2.3772183294184877
226.70815209433457,-2.393729836431633
226.6913932444048,-2.410269793405581
226.6746653505877,-2.4268398133222306
226.65797008156807,-2.443441509264707
226.64130910603217,-2.4600764944183564
226.62468409266918,-2.476746382071715
226.60809671017185,-2.493452785617419
226.59154855756142,-2.510197251300733
226.5750396313009,-2.526979778643263
226.55856832529693,-2.543798820336023
226.54213296378649,-2.5606527617449077
226.5257318710125,-2.5775399881610688
226.5093633712241,-2.5944588847998578
226.4930257886749,-2.611407836799761
226.4767174476226,-2.6283852292213337
226.4604366723282,-2.645389447046124
226.44418178705547,-2.6624188751755877
226.42795111606998,-2.6794718984300108
226.41174298363822,-2.696546901547394
226.39555571402764,-2.7136422691823605
226.3793876315052,-2.7307563859050252
226.36323706033733,-2.7478876361998714
226.34710232478898,-2.7650344044645996
226.3309817491231,-2.782195075008975
226.31487365760012,-2.799368032053651
226.2987763744777,-2.816551659728984
226.28268822400958,-2.833744342073822
226.26660753044584,-2.8509444630342826
226.25053261803214,-2.8681504064625147
226.23446181100942,-2.8853605561154274
226.21839343361333,-2.9025732956534127
226.20232581007454,-2.9197870086390374
226.18625726461784,-2.9370000785357098
226.17018612146208,-2.9542108887063323
226.15411070482054,-2.9714178224119205
226.13802933890017,-2.9886192628101997
226.121940347902,-3.005813592954169
226.10584205602075,-3.022999195790649
226.08973278744529,-3.040174454158784
226.0736110320789,-3.0573379108162713
226.05747752964027,-3.0744902809924852
226.0413346412605,-3.091633845719883
226.0251847638738,-3.1087709207429004
226.00903029442156,-3.1259038219546573
225.9928736298529,-3.1430348653990445
225.97671716712418,-3.1601663672727485
225.9605633031998,-3.1773006439272375
225.94441443505193,-3.19444001187068
225.9282729596612,-3.211586787769808
225.9121412740173,-3.2287432884517413
225.8960217751195,-3.245911830905704
225.87991685997758,-3.2630947322847237
225.86382892561252,-3.2802943099072457
225.84776036905745,-3.297512881258671
225.83171358735947,-3.3147527639928405
225.81569097758006,-3.3320162759334337
225.79969493679718,-3.3493057350753013
225.78372786210662,-3.366623459585715
225.76779215062393,-3.3839717678055483
225.75189019948587,-3.4013529782503618
225.7360244058532,-3.4187694096114183
225.7201971669122,-3.436223380756609
225.7044108798776,-3.4537172107312846
225.68866794199502,-3.4712532187590126
225.67297075054347,-3.4888337242422236
225.65732170283854,-3.5064610467627793
225.64172319623566,-3.5241375060824387
225.62617762813306,-3.5418654221432138
225.61068739597576,-3.559647115067651
225.59525489725843,-3.5774849051589825
225.5798825295306,-3.5953811129011837
225.5645724088421,-3.6133377869350327
225.54932420070097,-3.6313546084046244
225.5341363088433,-3.649430039331586
225.51900712659054,-3.6675625315655904
225.50393504727538,-3.685750536858747
225.48891846424038,-3.7039925068652284
225.47395577083532,-3.7222868931409043
225.45904536041567,-3.740632147142954
225.44418562634021,-3.759026720229493
225.4293749619697,-3.7774690636592054
225.41461176066423,-3.795957628590949
225.39989441578172,-3.8144908660833834
225.38522132067573,-3.8330672270945754
225.37059086869345,-3.851685162481613
225.35600145317426,-3.8703431230001963
225.34145146744729,-3.8890395593042446
225.32693930482955,-3.9077729219454715
225.31246335862437,-3.9265416613729696
225.29802202211926,-3.9453442279327713
225.28361368858432,-3.964179071867417
225.26923675127003,-3.9830446433154854
225.25488960340593,-4.001939392311136
225.2405706381984,-4.020861768783628
225.22627824882917,-4.03981022255682
225.21201082845351,-4.058783203348658
225.19776677019874,-4.077779160770659
225.1835444671623,-4.096796544327337
225.16934231241044,-4.11583380341568
225.15515869897607,-4.1348893873245265
225.14099201985815,-4.1539617452339845
225.12684066801938,-4.1730493262148
225.11270303638517,-4.192150579227701
225.09857751784202,-4.211263953122733
225.0844625052364,-4.230387896638557
225.0703563913734,-4.249520858401723
225.05625756901506,-4.26866128692593
225.04216443087992,-4.287807630611236
225.02807536964116,-4.306958337743259
225.0139887779261,-4.326111856492336
224.9999030483147,-4.345266634912652
224.98581657333904,-4.36442112094135
224.97172774548196,-4.383573762397584
224.95763495717648,-4.402723006981562
224.94353660080546,-4.421867302273539
224.9294310686999,-4.441005095732782
224.91531675313934,-4.460134834696483
224.9011920463506,-4.479254966378658
224.88705534050783,-4.498363937868985
224.87290502773175,-4.51746019613161
224.85873950008963,-4.536542188003918
224.8445571495948,-4.555608360195242
224.83035636820654,-4.574657159285555
224.8161355478306,-4.593687031724095
224.8018930803182,-4.612696423827956
224.7876273574672,-4.631683781780628
224.7733367710216,-4.650647551630495
224.7590197126721,-4.669586179289279
224.74467457405672,-4.688498110530428
224.73029974676095,-4.707381790987476
224.7158936223187,-4.726235666152323
224.70145459221274,-4.745058181373483
224.68698104787572,-4.76384778185427
224.67247138069087,-4.782602912650933
224.6579239819935,-4.80132201867073
229.37933311308643,0.3793031015520354
229.42722349325066,0.4085244812231399
229.47461053757806,0.4387631100789003
229.52152889193636,0.46994906870795317
229.56801320148787,0.5020124375555128
229.61409811053622,0.5348832968036124
229.65981826239587,0.5684917262575521
229.70520829928674,0.602767805238126
229.75030286224862,0.6376416124791189
229.79513659107639,0.6730432260294796
229.83974412426906,0.7089027231595263
229.88416009899413,0.7451501802704583
229.92841915106106,0.7817156728064119
229.97255591490222,0.8185292751682381
230.016605023557,0.855521060628154
230.06060110865585,0.8926211012443719
230.10457880040076,0.9297594677747977
230.14857272753773,0.9668662295888687
230.1926175173181,1.0038714545765852
230.23674779544484,1.040705209053793
230.2809981859994,1.0772975576627748
230.325403311346,1.113578563267219
230.36999779200923,1.1494782868406537
230.41481624652207,1.1849267873474585
230.45989329123955,1.2198541216155916
230.5052635401159,1.2541903442002313
230.55096160444194,1.287865507237547
230.5970220403054,1.3208097658509592
230.64345901034517,1.3529944814166672
230.6902354277046,1.3844945881593875
230.73730628316176,1.4154010363889333
